40
0 8
8 8
16 8
24 12
36 8
44 12
56 8
64 12
76 8
84 12
96 8
104 12
116 8
124 12
136 8
144 12
156 8
164 12
176 8
184 12
196 8
204 12
216 8
224 12
236 8
244 12
256 8
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 8
344 12
356 8
364 12
376 8
384 12
c1626 216 144
c1627 136 171
c1628 136 102
c1629 176 177
c1630 156 39
c1631 76 189
c1632 76 132
c1633 56 223
c1634 116 120
c1635 196 129
c1636 116 189
c1637 136 99
c1638 176 117
c1639 196 309
c1640 136 201
c1641 216 201
c1642 196 189
c1643 136 114
c1644 156 60
c1645 196 135
c1646 156 189
c1647 96 201
c1648 216 264
c1649 96 183
c1650 116 114
c1651 176 120
c1652 96 255
c1653 116 252
c1654 156 195
c1655 156 174
c1656 136 132
c1657 56 338
c1658 56 200
c1659 136 288
c1660 96 249
c1661 176 303
c1662 196 264
c1663 76 213
c1664 176 174
c1665 176 240
c1666 156 228
c1667 196 462
c1668 156 216
c1669 176 297
c1670 116 294
c1671 116 288
c1672 196 441
c1673 156 243
c1674 196 327
c1675 156 279
c1676 176 342
c1677 156 294
c1678 116 303
c1679 136 240
c1680 136 294
c1681 156 315
c1682 96 282
c1683 196 288
c1684 96 222
c1685 116 207
c1686 116 312
c1687 116 327
c1688 216 384
c1689 176 321
c1690 196 354
c1691 156 393
c1692 136 309
c1693 156 303
c1694 76 261
c1695 136 387
c1696 176 381
c1697 176 285
c1698 116 333
c1699 136 333
c1700 116 291
c1701 196 423
c1702 176 411
c1703 96 384
c1704 96 435
c1705 156 309
c1706 136 492
c1707 116 489
c1708 136 486
c1709 136 552
c1710 176 315
c1711 116 423
c1712 116 492
c1713 116 474
c1714 216 510
c1715 116 402
c1716 196 414
c1717 156 435
c1718 76 396
c1719 136 447
c1720 196 459
c1721 116 468
c1722 116 480
c1723 216 687
c1724 196 783
c1725 116 465
c1726 96 459
c1727 176 372
c1728 176 741
c1729 196 675
c1730 116 495
c1731 136 345
c1732 136 600
c1733 136 687
c1734 176 564
c1735 176 435
