39
0 12
12 12
24 12
36 12
48 12
60 8
68 12
80 8
88 12
100 8
108 12
120 8
128 12
140 8
148 12
160 8
168 12
180 8
188 12
200 8
208 12
220 8
228 12
240 8
248 12
260 8
268 12
280 8
288 12
300 8
308 12
320 8
328 12
340 8
348 12
360 8
c1366 248 87
c1367 348 119
c1368 228 128
c1369 268 176
c1370 248 187
c1371 288 99
c1372 328 150
c1373 228 154
c1374 188 102
c1375 268 148
c1376 248 181
c1377 248 178
c1378 228 182
c1379 348 218
c1380 248 221
c1381 328 159
c1382 228 157
c1383 228 165
c1384 308 168
c1385 248 258
c1386 308 221
c1387 228 223
c1388 308 185
c1389 308 269
c1390 308 207
c1391 208 245
c1392 328 268
c1393 308 232
c1394 128 294
c1395 208 251
c1396 148 264
c1397 280 12
c1398 300 0
c1399 320 0
c1400 220 6
c1401 300 21
c1402 320 36
c1403 240 3
c1404 340 15
c1405 360 6
c1406 300 45
c1407 280 18
c1408 260 39
c1409 280 27
c1410 320 60
c1411 280 51
c1412 280 36
c1413 300 69
c1414 340 54
c1415 300 75
c1416 300 54
c1417 280 111
c1418 240 99
c1419 280 60
c1420 260 160
c1421 240 90
c1422 340 75
c1423 320 120
c1424 260 147
c1425 280 123
c1426 320 108
c1427 260 166
c1428 300 108
c1429 240 96
c1430 380 186
c1431 280 129
c1432 280 168
c1433 220 81
c1434 320 144
c1435 280 165
c1436 280 138
c1437 260 229
c1438 240 129
c1439 280 144
c1440 200 171
c1441 260 257
c1442 280 186
c1443 300 126
c1444 260 290
c1445 340 105
c1446 360 84
c1447 340 99
c1448 300 147
c1449 200 288
c1450 260 254
c1451 280 192
c1452 228 17
c1453 288 16
c1454 268 17
c1455 288 8
c1456 348 0
c1457 248 46
c1458 248 31
c1459 348 81
c1460 248 90
c1461 288 51
c1462 268 70
c1463 288 48
c1464 328 55
c1465 328 39
c1466 288 133
c1467 248 58
c1468 268 131
c1469 328 14
c1470 248 119
c1471 328 127
c1472 248 144
c1473 288 82
c1474 308 59
c1475 288 88
c1476 308 124
c1477 308 116
c1478 328 97
c1479 308 153
c1480 308 133
c1481 308 182
c1482 288 214
c1483 288 263
c1484 308 179
c1485 288 188
c1486 268 229
c1487 368 273
c1488 328 277
c1489 268 253
c1490 328 232
c1491 228 188
c1492 308 286
c1493 88 275
c1494 228 238
c1495 248 279
c1496 168 278
c1497 148 272
c1498 248 282
c1499 300 6
c1500 340 21
c1501 320 21
c1502 300 9
c1503 300 27
c1504 320 3
c1505 300 48
c1506 240 24
c1507 320 15
c1508 300 39
c1509 300 81
c1510 300 15
c1511 300 51
c1512 240 60
c1513 380 85
c1514 320 54
c1515 320 81
c1516 280 45
c1517 340 45
c1518 260 80
c1519 380 72
c1520 380 111
c1521 320 93
c1522 360 24
c1523 380 99
c1524 280 87
c1525 360 39
c1526 340 36
c1527 280 78
c1528 340 72
c1529 320 84
c1530 280 105
c1531 260 127
c1532 340 42
c1533 320 114
c1534 260 223
c1535 320 105
c1536 280 81
c1537 320 111
c1538 380 183
c1539 280 153
c1540 300 105
c1541 240 279
c1542 220 138
c1543 380 221
c1544 360 63
c1545 300 120
c1546 280 156
c1547 240 111
c1548 300 153
c1549 280 177
c1550 300 144
c1551 240 135
c1552 380 286
c1553 280 171
c1554 320 150
c1555 340 96
c1556 280 297
c1557 300 297
c1558 300 138
c1559 380 117
c1560 380 15
c1561 320 27
c1562 280 6
c1563 320 9
c1564 300 33
c1565 300 18
c1566 280 9
c1567 260 36
c1568 280 24
c1569 320 66
c1570 340 24
c1571 240 54
c1572 280 33
c1573 300 63
c1574 280 54
c1575 280 42
c1576 340 48
c1577 300 90
c1578 340 33
c1579 320 87
c1580 360 36
c1581 340 30
c1582 340 39
c1583 280 117
c1584 360 12
c1585 280 66
c1586 280 99
c1587 320 75
c1588 340 57
c1589 300 93
c1590 360 45
c1591 280 135
c1592 300 132
c1593 360 33
c1594 380 167
c1595 300 111
c1596 360 69
c1597 360 42
c1598 320 126
c1599 280 141
c1600 340 81
c1601 220 99
c1602 320 129
c1603 360 60
c1604 280 147
c1605 260 217
c1606 260 269
c1607 300 114
c1608 260 246
c1609 320 135
c1610 320 153
c1611 260 263
c1612 340 93
c1613 360 90
c1614 360 72
c1615 300 159
c1616 380 269
c1617 320 162
c1618 308 22
c1619 308 0
c1620 268 61
c1621 308 33
c1622 348 29
c1623 328 25
c1624 388 0
c1625 328 80
c1626 388 85
c1627 308 87
c1628 308 42
c1629 368 136
c1630 348 38
c1631 268 142
c1632 268 104
c1633 248 127
